spotify_id,name,followers,popularity
5lLVx3mMyUvZ9QKzM09CZa,Khrystyna Soloviy,158107,45
6fXPelw8Z7kOBY0waHAdwO,Nks,18466,32
0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,821638,53
6q4uDyPsXgd2pezy0dYgtE,ZINNIA,27,0
4HyBLptfM7nZhrcss4if7x,Ung Hoang Phuc,195065,37
48h12D3cJbqfn1ReVL9qbw,Strat,29039,56
6xF3XdxG7VHRmQmTJxRqX8,Manu Gavassi,724049,53
38Bf9u0Tg0JOEcjxzqSuAj,JR Torres,53365,60
145zDAbvELoocgZ4bZrSXe,3 Composers,27283,46
6NhHJhA9RUuIkeGgecjRBM,UNICEF Iceland,228,6
5zVEKXJri9Ef1x6vMam3jk,Vino,666,21
5sc0loMqCN6R1ap06baL2K,Tareq Al Harbi,22099,19
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,9951370,83
0GykMtlKoc68Hj2jwZLXul,Nosowska,98696,44
35EByCqBoI2ze5Gf1cqdQu,Brent,5330,29
5ylOD196qui8JgXBrQUzok,Kyo,244161,51
6RvSPZZyrLReQqRW3xt8ZI,Tovino Thomas,6274,47
6DiAVYfSzZi8h1fGuTD6LI,Jimmy Bondoc,409546,46
7kUbO9TQchk9kF6nvfhOcY,Thascya,1876,12
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,72985,72
57RYqNhEvaNiafuP1X73GS,Equalz,75937,48
2VdxcRZenJ5qgyMjZv5wOI,One Function,4771,25
1WU701LQ9Ox2byHTHa1aM7,niinja,78,24
1hW7OVOpi85Y1TuC5GOa8K,COSMO.,37,0
3aUl9FisrxNctsdzYh3aJX,Annie Leigh,409,20
2QslFlDyZVpLYwfqyRDkNs,Onur Can Özcan,1079883,60
7hB5MsPRlZ0sz1syE8upIK,Zävodi,644,6
1wKDGglKV4FsFS85r2Dmpr,Airbag,363911,61
6zgklcaF5juoL4nx54Ohan,Bossy,17998,34
04QHNiih9ZesPvals6II1h,MC Marks,887752,69
